id,name,category,ingredients,instructions,image,alt
rec-001,Berry Bliss Pancakes,Breakfast,"[""1 cup all-purpose flour"", ""1 large egg"", ""1 cup milk"", ""1 cup mixed berries"", ""1 tbsp granulated sugar"", ""1 tsp baking powder"", ""Pinch of salt""]","Whisk flour, egg, milk, and sugar. Cook batter on a greased pan until golden. Top with fresh berries.",https://images.unsplash.com/photo-1484723091739-30a097e8f929?auto=format&fit=crop&w=900&q=80,Berry pancakes stacked on a plate
rec-002,Smoky Chicken Grain Bowl,Lunch,"[""250 g grilled chicken, sliced"", ""1 1/2 cups cooked quinoa"", ""1 1/2 cups mixed roasted vegetables"", ""2 tbsp olive oil"", ""1 tbsp lemon juice"", ""Salt and pepper to taste""]","Layer warm cooked quinoa, roasted vegetables and sliced grilled chicken in a bowl. Drizzle with dressing and serve.",https://images.unsplash.com/photo-1525755662778-989d0524087e?auto=format&fit=crop&w=900&q=80,Grilled chicken bowl with vegetables
rec-003,Firehouse BBQ Burger,Dinner,"[""500 g ground beef"", ""4 burger buns"", ""4 tbsp BBQ sauce"", ""4 slices cheddar cheese"", ""1 small red onion"", ""Salt & pepper""]","Form patties and grill. Melt cheese on top. Toast buns, add sauce, patty, and onion.",https://images.unsplash.com/photo-1551782450-17144efb9c50?auto=format&fit=crop&w=900&q=80,Gourmet beef burger with toppings
rec-004,Velvet Cocoa Torte,Dessert,"[""200 g dark chocolate"", ""120 g unsalted butter"", ""3 large eggs"", ""3/4 cup granulated sugar"", ""2 tbsp cocoa powder"", ""Pinch of salt""]","Melt chocolate and butter. Whisk eggs and sugar, fold in chocolate, then cocoa. Bake until set.",https://images.unsplash.com/photo-1563805042-7684c019e1cb?auto=format&fit=crop&w=900&q=80,Chocolate dessert with berries
rec-005,Rustic Rosemary Bread,Baking,"[""3 cups bread flour"", ""1 cup warm water"", ""2 1/4 tsp yeast"", ""1 tsp salt"", ""1 tbsp rosemary"", ""1 tbsp olive oil""]","Mix dough, knead, and add rosemary. Let rise until doubled. Shape and bake until golden.",https://images.unsplash.com/photo-1512058564366-18510be2db19?auto=format&fit=crop&w=900&q=80,Freshly baked rustic bread loaf
rec-006,Crispy Herb Fried Chicken,Frying,"[""1 kg chicken pieces"", ""1 1/2 cups flour"", ""1 tsp paprika"", ""1 tsp garlic powder"", ""1 tsp salt"", ""1/2 tsp black pepper""]","Dredge seasoned chicken in flour. Fry in oil at 180°C until golden and cooked through.",https://images.unsplash.com/photo-1516684669134-de6f7c473a2a?auto=format&fit=crop&w=900&q=80,Golden fried chicken with herbs
rec-007,Honey Almond Macarons,Sweet,"[""1 3/4 cups almond flour"", ""4 egg whites"", ""1 cup powdered sugar"", ""1/4 cup sugar"", ""Honey buttercream"", ""Pinch of salt""]","Whip meringue, fold in dry ingredients, pipe and rest. Bake, then sandwich with buttercream.",https://images.unsplash.com/photo-1488477181946-6428a0291777?auto=format&fit=crop&w=900&q=80,Colorful macarons on a tray
rec-008,Chili Garlic Noodles,Spicy,"[""250 g noodles"", ""4 cloves garlic"", ""1 tsp chili flakes"", ""2 tbsp soy sauce"", ""2 spring onions"", ""1 tbsp vegetable oil""]","Fry garlic and chili in oil. Add cooked noodles and soy sauce. Stir-fry and serve hot.",https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=900&q=80,Spicy noodles served in a bowl
rec-009,Butter Chicken (Murgh Makhani),Dinner,"[""800g chicken cubes"", ""1 cup yogurt"", ""2 tbsp ginger-garlic paste"", ""2 tsp chili powder"", ""4 tbsp butter"", ""1 cup tomato puree""]","Marinate and sear chicken. Simmer tomato puree with spices. Return chicken to sauce, add cream and butter.",https://www.licious.in/blog/wp-content/uploads/2020/10/butter-chicken-.jpg,Butter chicken in a bowl
rec-010,Masala Dosa,Breakfast,"[""2 cups dosa batter"", ""2 boiled potatoes"", ""1 onion"", ""1 green chili"", ""1/2 tsp mustard seeds"", ""1/2 tsp turmeric""]","Make potato filling. Spread batter thin on a hot tawa, add oil, fill with masala, and fold.",https://thumbs.dreamstime.com/b/delicious-masala-dosa-sambar-chutney-south-indian-culinary-delight-crispy-served-classic-breakfast-snack-367699781.jpg?w=992,Masala dosa served with chutney
rec-011,Gulab Jamun,Dessert,"[""1 cup milk powder"", ""1/4 cup flour"", ""1/4 tsp baking soda"", ""2 tbsp ghee"", ""1/4 cup milk"", ""Sugar syrup""]","Make soft dough balls and fry until golden. Soak in warm cardamom sugar syrup for 30 minutes.",https://www.theflourishingabode.com/wp-content/uploads/2025/03/Soft-and-Juicy-Gulab-Jamuns-Served-in-a-White-Bowl-with-Sugar-Syrup-9889737.png,Gulab jamun in syrup